GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gym-crm,com.gym.crm.config,AppConfig,19,0,0,0,5,0,5,0,5,0
gym-crm,com.gym.crm.service,TraineeService,4,69,0,0,1,12,1,7,1,7
gym-crm,com.gym.crm.service,UserProfileService,12,99,1,5,0,20,2,10,1,8
gym-crm,com.gym.crm.service,TrainerService,14,50,0,0,2,10,2,5,2,5
gym-crm,com.gym.crm.service,TrainingService,4,29,0,0,1,6,1,4,1,4
gym-crm,com.gym.crm.facade,GymFacade,73,0,0,0,18,0,14,0,14,0
gym-crm,com.gym.crm.dao,TraineeDao,15,68,0,0,3,11,1,6,1,6
gym-crm,com.gym.crm.dao,TrainingDao,49,4,0,0,9,1,4,1,4,1
gym-crm,com.gym.crm.dao,TrainerDao,68,4,0,0,12,1,5,1,5,1
gym-crm,com.gym.crm,Application,90,0,0,0,16,0,3,0,3,0
gym-crm,com.gym.crm.storage,InMemoryStorage,6,15,0,0,2,6,2,2,2,2
gym-crm,com.gym.crm.storage,StorageInitializer,363,0,20,0,62,0,17,0,7,0
gym-crm,com.gym.crm.domain,User,17,42,0,0,2,7,2,12,2,12
gym-crm,com.gym.crm.domain,Trainee,25,10,0,0,3,3,5,3,5,3
gym-crm,com.gym.crm.domain,Training,57,37,0,0,6,5,12,5,12,5
gym-crm,com.gym.crm.domain,TrainingType,0,39,0,0,0,1,0,1,0,1
gym-crm,com.gym.crm.domain,Trainer,15,10,0,0,2,3,3,3,3,3
